N;THREADS;TIME;LOOP
10000000;8;0.30000;9
10000000;9;0.24000;0
10000000;9;0.20000;1
10000000;9;0.23000;2
10000000;9;0.22000;3
10000000;9;0.23000;4
10000000;9;0.25000;5
10000000;9;0.25000;6
10000000;9;0.25000;7
10000000;9;0.25000;8
10000000;9;0.26000;9
10000000;10;0.25000;0
10000000;10;0.24000;1
10000000;10;0.25000;2
10000000;10;0.26000;3
10000000;10;0.25000;4
10000000;10;0.25000;5
10000000;10;0.25000;6
10000000;10;0.25000;7
10000000;10;0.25000;8
10000000;10;0.25000;9
